,Single PMAT - MTL,Single PMAT - MTL,Single MMSE Score - MTL,Single MMSE Score - MTL,Single Gender - MTL,Single Gender - MTL,idRegion
,W,p,W,p,W,p,
0,846.0,1.0,5082.5,0.9859871660087283,1032.0,1.0,199
1,1450.5,0.9999999999999234,6585.5,0.13240683834892647,27.0,1.0,199
2,7583.0,0.0017823852014496448,5608.5,0.7822463983138035,779.5,1.0,199
3,2216.5,0.9999999989536766,6675.5,0.12997652231026352,53.0,1.0,199
4,577.5,0.9999999999999973,6699.5,0.0701269138919013,8.0,1.0,199
5,12657.0,2.103174259590954e-24,7566.5,0.012790894617675215,10486.0,6.416820795402771e-13,199
6,1312.0,1.0,4369.0,0.9995472616694542,945.0,1.0,199
7,1004.0,1.0,4206.5,0.9999291290597272,937.0,1.0,199
8,12750.0,4.232333962484743e-25,10248.0,1.144196917732049e-11,11692.0,2.375910805518733e-20,199
9,10439.0,1.1147254124035785e-14,12120.0,1.3710276648762537e-20,12415.0,1.2160446465929501e-22,199
10,12304.0,8.410495115191795e-24,11611.0,4.263803782354408e-18,12297.0,9.445195488378868e-24,199
11,12327.0,5.64578827859047e-24,11945.0,2.6991511957630126e-20,13108.0,6.962490384134647e-28,199
12,12217.0,3.459035952747148e-22,10637.0,9.536316347385445e-14,12223.0,3.351385322643016e-23,199
13,998.0,1.0,1244.0,1.0,98.0,1.0,199
14,2044.5,0.9999999996695291,6424.0,0.2971498740497398,0.0,1.0,199
15,1690.0,0.9999999999999996,5801.0,0.8318046490551219,1647.5,0.9999999999999999,199
16,9294.5,3.34192790309051e-06,9092.0,7.114066425940312e-06,8306.5,0.0007367235399838696,199
17,6862.5,0.012074887702846026,8593.0,1.3848691706108558e-05,369.0,1.0,199
18,1207.0,1.0,1167.5,1.0,629.0,1.0,199
19,2015.0,0.9999999999999858,6002.5,0.8090368884376948,83.5,1.0,199
20,3000.0,0.9998418004313983,8050.5,0.0018233301405731481,2835.5,0.9999999993448236,199
21,9032.0,3.509671868507985e-07,3207.0,0.9999999931312024,2222.5,0.9999999999994414,199
